B2094654D16EA5FB499E, 11, 恒富花园(北门) 116.29555, 39.83683, 260 656, 大门, 
B2094654D16BA3FF469B, 18, 北京市正阳北里农贸市场 116.28609, 39.84972, 258 263, 公司, 北京市丰台区丰台镇电报局街甲2号
B2094654D16EABFE499C, 5, 正阳小区(南门) 116.2899, 39.84944, 260 656, 大门, 
B2094654D16EA7FE469E, 11, 天龙华鹤(北门) 116.29275, 39.83261, 260 656, 大门, 百强大道10
B2094654D068A5FB409C, 12322, 万年花城 116.32172, 39.843395, 44 47, 住宅区, 北京市丰台区南三环西路28号
B2094654D265ABFB4398, 39755, 首都经济贸易大学 116.31896, 39.84068, 51 671, 高校中心点, 北京市丰台区花乡张家路口 121 号（校本部）；北京市朝阳区朝阳门外金台里2号（红庙校区）
B2094654D36CA0F44999, 4174, 首都经济贸易大学学生公寓 116.32191, 39.8414, 44 47, 住宅区, 金旺达酒店北
B2094654D16DA6F4439E, 2026, 万年花城万芳园一区 116.318655, 39.846525, 44 47, 住宅区, 
B2094654D16EA7FD4493, 3155, 首经贸中街1号院 116.32441, 39.84149, 44 47, 住宅区, 
B2094654D36CA0FA4293, 2602, 育菲园东里 116.3242, 39.846176, 44 47, 住宅区, 丰台东路西南三环夏家胡同纪家庙
B2094757D06BA6FD459A, 10391, 三环新城 116.31606, 39.851627, 44 47, 住宅区, 丰台西南三环丰益桥与万柳桥之间
B2094654D16CABFA4893, 2767, 芳菲路88号院 116.32291, 39.83883, 44 47, 住宅区, 芳菲路88号
B2094757D16BA5FA4692, 5541, 万柳桥 116.332271699, 39.8489017867, 500, 未知分类, 北京南三环
B2094654D068A5FB409D, 1878, 首都经济贸易大学赛欧公寓 116.32039, 39.84156, 44 47, 住宅区, 北京丰台区花乡张家路口121号(首经贸东门东侧)
B2094757D06AA5F54492, 1273, 夏家胡同 116.323324699, 39.8478258062, 500, 未知分类, 北京市丰台区万芳路
B2094654D36CA7FD429F, 1782, 东方夏威夷国际商务会馆 116.3358, 39.8467, 19 149, 洗浴推拿场所, 南三环西路88-1号
B2094757D06FA0F5489F, 1318, 首经贸5号楼侧楼自习室/阅览室 116.317635521, 39.8401200475, 169 181, 图书馆, 北京丰台区花乡张家路口121号（首都经济贸易大学西校区）
B2094654D16DA4FF449D, 1781, 万年花城万芳园二区 116.31504, 39.8464, 44 47, 住宅区, 
